Prod_ID,Prod_Cat,User_ID,User_Province,Event,Clicks,Wishlist
6LQyw4P7b1pKRc8mLPD1,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
6UMDl79uSsFpnTDhWcIc,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
6et0gXzMO2N3QTLnag8N,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
6fkW7uZGW33SZjjF7yEb,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
6iemBOQjdVIjewMVtBpS,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
6w1fAu8gnSclQEt6tG69,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
6wOTPZ1CEW7nCrSq3zeO,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,2,0
7XGzAmkX5iGQZgco4I3W,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
7knqVmvDB7wbUZkNnmND,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
8FVjs8dXoSLPZ3nyN0AS,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
8RW9q9fqJVjX08Eqpb21,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
8i8VDiIl6KrLWkHr02NU,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
8kSn0V7567uqY3L7hDpN,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
93NFKGAegeyH8KUTlJ4g,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
94skQfrmLuKJTc2HxxCe,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,2,0
98Ksy5vMldMswNPI4EDL,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
9dISPSG4hkv1cQz8q3yd,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
AM9XPp9Bt7BKd1p5zbwP,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Ab8VF86PjmhHrs4dbXK5,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Anp5ECAzWZXGESoxYmLw,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Aq2dHkMXM74xOkkln66t,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
C1Qm73hrFiS1LD7q90RG,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
CFRuUH1RlhPRANHa5hjQ,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
CQ9Gtv71tcEgUbW1OoDP,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
CUjJmY8BfbQjAIuVUIWl,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
CrkC3ZpG3q4IYidPPpEP,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
CzEs3bmioDEqU8bVJJof,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
D4cHklmExEfjNrkW4sfG,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
DEbWwJ1zUoLaRTyFZ7o9,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
DKeioqGHJ5HfsHwNBBtQ,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
EELiIRTmIa27zYzEjNVo,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
EtsKXIMC6Y2EiwAI2yKT,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
EvCi6H86jQh0cWYqHsGe,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
EyFVwt3QBqvJ84x667ZJ,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
F4wh67WHcNo2F7GzVSjs,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
FQKVqZJwY3vKT0Kmaf2C,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
FfyN1tYpse8Wi3G0AeaZ,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Fkb6xFZ2nuaHtjpy2TX9,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Fm7kljADEFhNfRgDPykx,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
G7NPLi3zniT6dkMp0a6Z,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
G8cJdgspZCNn0XcDoWVQ,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
GBYms7RzsT9aOOsOp8EX,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
GeuAuH5ERxEnjfPh7CGe,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
GjVvYz4wrkL2AdRCfpFm,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
GkKlzHKqL95eypd00QuN,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
GrKyn9VnaLbVvDLP5O7i,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
GwA3L2nmIoa3woX8NjFK,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
HL1zE9PpORVdeuUU6AaU,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
HP5Pqvi5xNfQGHNxjqoP,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
HrEizMweIDPGEw5bo0j0,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Hs3ZROuWHpalusM8lQbl,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
Htntps4UmXWSdsqeufSN,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
HvidS0y8l8gFZ44zBKqX,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
HwluqJAYhR2dlJQdhK6W,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
I3EzEuK6oxjcbFoHmXld,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
J2VfrK6m4Nu5Geun9tD3,3,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
JBPpzOXYsHwoqVLBgY61,5,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
JOURwzmoLyrBqUJk7IvQ,1,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
JbUU8JQjl7vG82TIiaM7,2,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
KMFNTun2v3YwtF0ev0lf,4,1RvEwuC2eCdzoKyaATXC9pNsXwH3,9,view,1,0
